Date,PondLevel,Rain
2022-12-20,0,0.0
2022-12-21,0,0.002
2022-12-22,0,1.082
2022-12-23,0,0.0
2022-12-24,0,0.0
2022-12-25,0,0.0
2022-12-26,0,0.0
2022-12-27,0,0.0
2022-12-28,0,0.0
2022-12-29,0,0.0
2022-12-30,1,0.0
2022-12-31,1,0.636
2023-01-01,1,0.0
2023-01-02,1,0.0
2023-01-03,1,0.0
2023-01-04,1,0.222
2023-01-05,1,0.0
2023-01-06,1,0.0
2023-01-07,1,0.0
2023-01-08,1,0.388
2023-01-09,1,0.0
2023-01-10,1,0.0
2023-01-11,1,0.001
2023-01-12,1,0.631
2023-01-13,1,0.152
2023-01-14,1,0.0
2023-01-15,1,0.0
2023-01-16,1,0.0
2023-01-17,1,0.19
2023-01-18,1,0.0
2023-01-19,1,0.075
2023-01-20,1,0.0
2023-01-21,1,0.0
2023-01-22,1,0.111
2023-01-23,1,0.004
2023-01-24,1,0.0
2023-01-25,1,0.6579999999999999
2023-01-26,1,0.0
2023-01-27,1,0.0
2023-01-28,1,0.0
2023-01-29,1,0.21100000000000002
2023-01-30,1,0.0
2023-01-31,1,0.10400000000000001
2023-02-01,1,0.24
2023-02-02,1,0.07200000000000001
2023-02-03,1,0.0
2023-02-04,1,0.0
2023-02-05,1,0.0
2023-02-06,1,0.0
2023-02-07,1,0.0
2023-02-08,1,0.0
2023-02-09,1,0.01
2023-02-10,1,0.0
2023-02-11,1,0.0
2023-02-12,2,0.951
2023-02-13,1,0.0
2023-02-14,1,0.0
2023-02-15,1,0.002
2023-02-16,1,0.0
2023-02-17,1,0.5529999999999999
2023-02-18,1,0.0
2023-02-19,1,0.0
2023-02-20,1,0.02
2023-02-21,1,0.0
2023-02-22,1,0.001
2023-02-23,1,0.0
2023-02-24,1,0.0
2023-02-25,1,0.244
2023-02-26,1,0.0
2023-02-27,1,0.003
2023-02-28,1,0.0
2023-03-01,1,0.017
2023-03-02,1,0.10099999999999999
2023-03-03,1,0.14300000000000002
2023-03-04,1,0.0
2023-03-05,1,0.0
2023-03-06,1,0.0
2023-03-07,1,0.0
2023-03-08,1,0.0
2023-03-09,1,0.0
2023-03-10,1,0.017
2023-03-11,1,0.0
2023-03-12,1,0.08199999999999999
2023-03-13,1,0.0
2023-03-14,1,0.0
2023-03-15,1,0.0
2023-03-16,1,0.0
2023-03-17,1,0.052000000000000005
2023-03-18,1,0.002
2023-03-19,1,0.0
2023-03-20,1,0.0
2023-03-21,1,0.0
2023-03-22,1,0.003
2023-03-23,1,0.0
2023-03-24,1,0.003
2023-03-25,1,0.103
2023-03-26,1,0.0
2023-03-27,1,0.0
2023-03-28,1,0.004
2023-03-29,1,0.001
2023-03-30,1,0.0
2023-03-31,1,0.0
2023-04-01,1,0.274
2023-04-02,1,0.0
2023-04-03,1,0.0
2023-04-04,1,0.0
2023-04-05,1,0.061
2023-04-06,1,0.061
2023-04-07,1,0.4320000000000001
2023-04-08,1,0.0
2023-04-09,1,0.0
2023-04-10,1,0.0
2023-04-11,1,0.0
2023-04-12,1,0.0
2023-04-13,1,0.0
2023-04-14,1,0.012
2023-04-15,1,0.004
2023-04-16,1,0.0
2023-04-17,1,0.001
2023-04-18,1,0.0
2023-04-19,1,0.0
2023-04-20,1,0.0
2023-04-21,1,0.0
2023-04-22,1,0.324
2023-04-23,1,0.0
2023-04-24,1,0.0
2023-04-25,1,0.0
2023-04-26,1,0.0
2023-04-27,1,0.021
2023-04-28,2,2.28
2023-04-29,1,0.0
2023-04-30,1,0.001
2023-05-01,0,0.002
2023-05-02,1,0.01
2023-05-02,1,0.01
2023-05-03,0,0.003
2023-05-04,1,0.0
2023-05-05,1,0.0
2023-05-06,1,0.0
2023-05-07,1,0.052000000000000005
2023-05-08,1,0.01
2023-05-09,1,0.101
2023-05-10,1,0.0
2023-05-11,1,0.0
2023-05-12,1,0.0
2023-05-13,1,0.006
2023-05-14,1,0.032
2023-05-15,1,0.047
2023-05-16,1,0.011
2023-05-17,1,0.001
2023-05-18,1,0.0
2023-05-19,1,0.0
2023-05-20,1,0.0
2023-05-21,1,0.0
2023-05-22,1,0.0
2023-05-23,1,0.0
2023-05-24,1,0.0
2023-05-25,1,0.0
2023-05-26,1,0.0
2023-05-27,1,0.0
2023-05-28,1,0.109
2023-05-29,1,0.131
2023-05-30,1,0.033
2023-05-31,1,0.0
2023-06-01,1,0.0
2023-06-02,1,0.0
2023-06-03,1,0.0
2023-06-04,1,0.0
2023-06-05,1,0.0
2023-06-06,1,0.0
2023-06-07,1,0.032
2023-06-08,1,0.0
